ticker,year,Revenues,Net Income
AAPL,2014,182795000000.0,39510000000.0
AAPL,2015,233715000000.0,53394000000.0
AAPL,2016,215639000000.0,45687000000.0
AAPL,2017,458468000000.0,48351000000.0
AAPL,2018,531190000000.0,59531000000.0
AAPL,2019,260174000000.0,55256000000.0
AAPL,2020,274515000000.0,57411000000.0
AAPL,2021,365817000000.0,94680000000.0
AAPL,2022,394328000000.0,99803000000.0
AAPL,2023,383285000000.0,96995000000.0
NVDA,2014,4682000000.0,631000000.0
NVDA,2015,5010000000.0,614000000.0
NVDA,2016,13820000000.0,1666000000.0
NVDA,2017,19428000000.0,3047000000.0
NVDA,2018,11716000000.0,4141000000.0
NVDA,2019,21836000000.0,2796000000.0
NVDA,2020,33350000000.0,4332000000.0
NVDA,2021,53828000000.0,9752000000.0
NVDA,2022,26974000000.0,4368000000.0
NVDA,2023,60922000000.0,29760000000.0
MSFT,2014,159781000000.0,22074000000.0
MSFT,2015,169536000000.0,12193000000.0
MSFT,2016,91154000000.0,20539000000.0
MSFT,2017,96571000000.0,25489000000.0
MSFT,2018,110360000000.0,16571000000.0
MSFT,2019,125843000000.0,39240000000.0
MSFT,2020,143015000000.0,44281000000.0
MSFT,2021,168088000000.0,61271000000.0
MSFT,2022,198270000000.0,72738000000.0
MSFT,2023,211915000000.0,72361000000.0
AMZN,2014,177976000000.0,-241000000.0
AMZN,2015,214012000000.0,596000000.0
AMZN,2016,135987000000.0,2371000000.0
AMZN,2017,177866000000.0,3033000000.0
AMZN,2018,232887000000.0,10073000000.0
AMZN,2019,280522000000.0,11588000000.0
AMZN,2020,386064000000.0,21331000000.0
AMZN,2021,469822000000.0,33364000000.0
AMZN,2022,513983000000.0,-2722000000.0
AMZN,2023,574785000000.0,30425000000.0
GOOGL,2014,66001000000.0,14444000000.0
GOOGL,2015,74989000000.0,16348000000.0
GOOGL,2016,180544000000.0,19478000000.0
GOOGL,2017,221710000000.0,12662000000.0
GOOGL,2018,273638000000.0,30736000000.0
GOOGL,2019,323714000000.0,34343000000.0
GOOGL,2020,365054000000.0,40269000000.0
GOOGL,2021,515274000000.0,76033000000.0
GOOGL,2022,282836000000.0,59972000000.0
GOOGL,2023,307394000000.0,73795000000.0
META,2014,12466000000.0,2940000000.0
META,2015,17928000000.0,3688000000.0
META,2016,55276000000.0,10217000000.0
META,2017,81306000000.0,15934000000.0
META,2018,55838000000.0,22112000000.0
META,2019,70697000000.0,18485000000.0
META,2020,85965000000.0,29146000000.0
META,2021,117929000000.0,39370000000.0
META,2022,116609000000.0,23200000000.0
META,2023,134902000000.0,39098000000.0
TSLA,2014,3198356000.0,-588080000.0
TSLA,2015,4046025000.0,-1777326000.0
TSLA,2016,7000132000.0,-1447960000.0
TSLA,2017,11759000000.0,-4203000000.0
TSLA,2018,42922268000.0,-2039000000.0
TSLA,2019,24578000000.0,-1637000000.0
TSLA,2020,31536000000.0,1583000000.0
TSLA,2021,107646000000.0,11163000000.0
TSLA,2022,162924000000.0,25143000000.0
TSLA,2023,193546000000.0,29971000000.0
BRK-B,2014,194699000000.0,40042000000.0
BRK-B,2015,210943000000.0,48497000000.0
BRK-B,2016,215114000000.0,48501000000.0
BRK-B,2017,239933000000.0,90293000000.0
BRK-B,2018,423282000000.0,8343000000.0
BRK-B,2019,431128000000.0,163209000000.0
BRK-B,2020,412312000000.0,85774000000.0
BRK-B,2021,467437000000.0,180886000000.0
